BATHURST STATION,Bathurst
BAY STATION,Bay
BAYVIEW STATION,Bayview
BESSARION STATION,Bessarion
BLOOR STATION,Bloor-Yonge
BLOOR/YONGE,Bloor-Yonge
BROADVIEW STATION,Broadview
CASTLE FRANK STATION,Castle-Frank
CHESTER STATION,Chester
CHRISTIE STATION,Christie
COLLEGE STATION,College
COLLEGE TO KING,College
COXWELL STATION,Coxwell
DAVISVILLE BUILD UP,Davisville
DAVISVILLE STATION,Davisville
DAVISVILLE YARD,Davisville
DON MILLS STATION,Don-Mills
DONLANDS STATION,Donlands
DOWNSVIEW PARK STATION,Downsview-Park
DUFFERIN STATION,Dufferin
DUNDAS STATION,Dundas
DUNDAS WEST STATION,Dundas-West
DUNDAS WEST TO KEELE S,Dundas-West
DUPONT STATION,Dupont
EATON CENTRE,Dundas
EGLINTON (MIGRATION),Eglinton
EGLINTON MIGRATION,Eglinton
EGLINTON MIGRATION POI,Eglinton
EGLINTON PSUDO STATION,Eglinton
EGLINTON STATION,Eglinton
EGLINTON STATION (MIGR,Eglinton
EGLINTON STATION MIGR,Eglinton
EGLINTON WEST STATION,Eglinton
ELLESMERE STATION,Ellesmere
FINCH STATION,Finch
FINCH TO QUEENS PARK S,Finch
FINCH WEST STATION,Finch-West
GLENCAIRN STATION,Glencairn
GLENCARIN STATION,Glencairn
GREENWOOD STATION,Greenwood
GREENWOOD WYE,Greenwood
GREENWOOD YARD,Greenwood
HIGH PARK STATION,High-Park
HIGHWAY 407 STATION,Highway-407
ISLINGTON STATION,Islington
JANE STATION,Jane
KEELE STATION,Keele
KEELE YARD,Keele
KENNEDY BD STATION,Kennedy
KENNEDY SRT STATION,Kennedy
KENNEDY SRT STATION -,Kennedy
KENNEDY SRT STATION TO,Kennedy
KENNEDY STATION,Kennedy
KING STATION,King
KING TO COLLEGE,King
KIPLING STATION,Kipling
KIPLING STATION - KENN,Kipling
LANSDOWNE STATION,Lansdowne
LAWRENCE EAST STATION,Lawrence-West
LAWRENCE STATION,Lawrence
LAWRENCE WEST STATION,Lawrence-West
LESLIE STATION,Leslie
LINE 1 BLOOR TO QUEEN,Bloor-Yonge
MAIN STREET STATION,Main-Street
MAIN STREET STATION (E,Main-Street
MAIN TO VICTORIA PARK,Main-Street
MC COWAN STATION,McCowan
MCCOWAN STATION,McCowan
MIDLAND STATION,Midland
MUSEUM STATION,Museum
MUSEUM TO EGLINTON STA,Museum
NORTH YORK CTR STATION,North-York-Centre
OLD MILL STATION,Old-Mill
OSGOODE STATION,Osgoode
OSSINGTON CENTRE TRACK,Ossington
OSSINGTON STATION,Ossington
PAPE STATION,Pape
PIONEER VILLAGE STATIO,Pioneer-Village
QUEEN STATION,Queen
QUEEN'S PARK STATION,Queens-Park
ROSEDALE STATION,Rosedale
ROYAL YORK STATION,Royal-York
RUNNYMEDE STATION,Runnymede
SCARBOROUGH CTR STATIO,Kennedy
SCARBOROUGH RAPID TRAN,Kennedy
SHEPPARD LINE,Sheppard-Yonge
SHEPPARD STATION,Sheppard-Yonge
SHEPPARD WEST STATION,Sheppard-West
SHEPPARD WEST TO UNION,Sheppard-West
SHEPPARD WEST TO WILSO,Sheppard-West
SHEPPARD-YONGE AND DON,Sheppard-Yonge
SHEPPARD-YONGE STATION,Sheppard-Yonge
SHERBOURNE STATION,Sherbourne
SPADINA BD STATION, Spadina
SPADINA YUS STATION, Spadina
ST ANDREW STATION, St-Andrew
ST CLAIR STATION, St-Clair
ST CLAIR STATION (APPR, St-Clair
ST CLAIR WEST STATION, St-Clair-West
ST GEORGE BD STATION, St-George
ST GEORGE YUS STATION, St-George
ST PATRICK STATION, St-Patrick
ST. GEORGE STATION, St-George
SUMMERHILL STATION, Summerhill
UNION - KING, Union
UNION STATION, Union
UNION STATION (ST ANDR, Union
UNION STATION (TO KING, Union
UNION STATION (TO ST A, Union
UNION STATION (TOWARDS, Union
UNION STATION - KING S, Union
UNION STATION - ST AND, Union
UNION STATION TO FINCH, Union
UNION STATION TO KING, Union
UNION STATION TO ST AN, Union
UNION STATION TOWARDS, Union
UNION TO KING, Union
VAUGHAN MC STATION, Vaughan-Metro-Centre
VICTORIA PARK STATION, Victoria-Park
VICTORIA PARK TO WARDE, Victoria-Park
VMC TO LAWRENCE, Lawrence
WARDEN STATION, Warden
WELLESLEY STATION, Wellesley
WILSON HOLSER, Wilson
WILSON HOSTLER, Wilson
WILSON SOUTH HOSTLER, Wilson
WILSON STATION, Wilson
WILSON YARD, Wilson
WILSON YARD HOSTLER 2, Wilson
WOODBINE STATION, Woodbine
YONGE BD STATION, Bloor-Yonge
YONGE STATION, Bloor-Yonge
YONGE STATION TO GREEN, Bloor-Yonge
YONGE UNIVERSITY LINE, Bloor-Yonge
YORK MILLS (APPROACHIN, York-Mills
YORK MILLS STATION, York-Mills
YORK UNIVERSITY STATIO, York-University
YORKDALE STATION, Yorkdale
